36 36 2 done
0 0 none false false 
0 1 none false false 
0 2 none false false 
0 3 none false false 
0 4 none false false 
0 5 none false false 
0 6 none false false 
0 7 none false false 
0 8 none false false 
0 9 none false false 
0 10 none false false 
0 11 none false false 
0 12 none false false 
0 13 none false false 
0 14 none false false 
0 15 none false false 
0 16 none false false 
0 17 none false false 
0 18 none false false 
0 19 none false false 
0 20 none false false 
0 21 none false false 
0 22 none false false 
0 23 none false false 
0 24 none false false 
0 25 none false false 
0 26 none false false 
0 27 none false false 
0 28 none false false 
0 29 none false false 
0 30 none false false 
0 31 none false false 
0 32 none false false 
0 33 none false false 
0 34 none false false 
0 35 none false false 
35 0 none false false 
35 1 none false false 
35 2 none false false 
35 3 none false false 
35 4 none false false 
35 5 none false false 
35 6 none false false 
35 7 none false false 
35 8 none false false 
35 9 none false false 
35 10 none false false 
35 11 none false false 
35 12 none false false 
35 13 none false false 
35 14 none false false 
35 15 none false false 
35 16 none false false 
35 17 none false false 
35 18 none false false 
35 19 none false false 
35 20 none false false 
35 21 none false false 
35 22 none false false 
35 23 none false false 
35 24 none false false 
35 25 none false false 
35 26 none false false 
35 27 none false false 
35 28 none false false 
35 29 none false false 
35 30 none false false 
35 31 none false false 
35 32 none false false 
35 33 none false false 
35 34 none false false 
35 35 none false false 
